Time	Nr	Camera	Camera	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	ST1	ST1	ST2	ST2	ST3	ST3	ST4	ST4	ST5	ST5	ST6	ST6	ST7	ST7	ST8	ST8	ST9	ST9	ST10	ST10
Time	Pic	Exposure	Temprature	Sample Translation	Sample Rotation	Shutter	Pinhole	X_Tilt	Y_Tilt	Y SCAN	Sample Height	CCD	Translation ANA	ROT MONO	ROT ANA	TRA Mono	G0-Rotation	G1_Translation	2_Sample_Translation	2_Sample_Rotation	G2-Tilt	G0_Trans	Beam_B	X_Tilt	Y_Tilt	Beam_R	Beam_L	Beam_T	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current
H:M%	Tomography_0052	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	7.236000	-0.060000	0.327500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	0.000560	0.515546	0.225599	0.515546	0.223656	0.511661	0.223332	0.618514	0.207143	-0.021634	0.231751	0.603943	0.166020	0.318354	0.231751	0.386351	0.291330	0.630170	0.196781
H:M%	Tomography_0053	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	7.236000	-0.060000	0.436500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000560	0.516517	0.225599	0.514575	0.223980	0.511661	0.223656	0.619485	0.207143	-0.021634	0.231751	0.603943	0.166020	0.318354	0.232075	0.386351	0.291006	0.628228	0.196781
H:M%	Tomography_0054	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	7.236000	-0.060000	0.545500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000236	0.516517	0.225599	0.515546	0.223980	0.510689	0.223332	0.618514	0.207143	-0.022605	0.230780	0.601029	0.166020	0.318354	0.231751	0.385380	0.290358	0.627256	0.196781
H:M%	Tomography_0055	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	7.236000	-0.060000	0.654500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	0.000560	0.515546	0.225599	0.515546	0.223980	0.511661	0.223332	0.616571	0.207143	-0.021634	0.231427	0.602000	0.165697	0.317382	0.231427	0.385380	0.291330	0.627256	0.196457
H:M%	Tomography_0056	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	7.236000	-0.060000	0.763500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	0.000236	0.516517	0.226247	0.514575	0.223980	0.511661	0.223332	0.618514	0.208438	-0.021634	0.231427	0.603943	0.166668	0.320296	0.232075	0.388294	0.291977	0.630170	0.197752
H:M%	Tomography_0057	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	7.236000	-0.060000	0.872500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	0.000884	0.517489	0.225599	0.513603	0.223656	0.510689	0.223332	0.619485	0.208438	-0.022605	0.231427	0.603943	0.166020	0.319325	0.232399	0.388294	0.291654	0.630170	0.197429
H:M%	Tomography_0058	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	7.236000	-0.060000	0.872500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000236	0.516517	0.225599	0.513603	0.223656	0.510689	0.223332	0.617542	0.209085	-0.022605	0.231104	0.602971	0.166668	0.319325	0.232399	0.389265	0.291330	0.630170	0.198076
H:M%	Tomography_0059	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	7.236000	-0.060000	1.091000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000560	0.516517	0.225923	0.514575	0.224304	0.509718	0.223009	0.616571	0.206495	-0.022605	0.231427	0.602000	0.166020	0.315439	0.231751	0.386351	0.291006	0.627256	0.196133
H:M%	Tomography_0060	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	7.236000	-0.060000	1.200000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	0.000236	0.517489	0.225599	0.514575	0.223656	0.510689	0.223332	0.618514	0.207466	-0.025519	0.231751	0.602971	0.165697	0.318354	0.231427	0.384408	0.290682	0.629199	0.196781
H:M%	Tomography_0061	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	9.045000	-0.060000	0.000000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000560	0.517489	0.225923	0.513603	0.223980	0.510689	0.223332	0.620456	0.207790	-0.022605	0.231427	0.602971	0.166020	0.318354	0.231751	0.385380	0.291006	0.628228	0.197752
H:M%	Tomography_0062	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	9.045000	-0.060000	0.109000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	-0.000088	0.516517	0.225599	0.514575	0.224304	0.511661	0.223656	0.615599	0.207466	-0.020662	0.231427	0.602971	0.166344	0.319325	0.232075	0.386351	0.291330	0.629199	0.197752
H:M%	Tomography_0063	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	9.045000	-0.060000	0.218000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000236	0.517489	0.225599	0.513603	0.223656	0.512632	0.223332	0.618514	0.207466	-0.021634	0.231104	0.602971	0.166020	0.319325	0.231104	0.387322	0.291330	0.629199	0.197752
H:M%	Tomography_0064	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	9.045000	-0.060000	0.327500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	0.000560	0.516517	0.225923	0.513603	0.223332	0.510689	0.223656	0.619485	0.207790	-0.020662	0.231427	0.602971	0.166668	0.320296	0.232075	0.389265	0.291977	0.631142	0.198076
H:M%	Tomography_0065	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	9.045000	-0.060000	0.436500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000560	0.517489	0.225275	0.514575	0.223980	0.512632	0.223332	0.618514	0.208762	-0.021634	0.231427	0.605886	0.166992	0.320296	0.232075	0.388294	0.291654	0.631142	0.197752
H:M%	Tomography_0066	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	9.045000	-0.060000	0.545500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000884	0.516517	0.225599	0.514575	0.223656	0.510689	0.223009	0.620456	0.208114	-0.021634	0.231104	0.603943	0.165697	0.320296	0.231751	0.387322	0.291330	0.629199	0.197752
H:M%	Tomography_0067	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	9.045000	-0.060000	0.654500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	0.000560	0.514575	0.225923	0.514575	0.223980	0.511661	0.223332	0.619485	0.208114	-0.021634	0.231427	0.603943	0.166344	0.319325	0.232399	0.388294	0.291654	0.631142	0.197105
H:M%	Tomography_0068	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	9.045000	-0.060000	0.763500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	-0.000088	0.516517	0.225599	0.514575	0.224304	0.511661	0.223332	0.619485	0.207790	-0.022605	0.231427	0.602971	0.166020	0.319325	0.232075	0.387322	0.291654	0.630170	0.197429
H:M%	Tomography_0069	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	9.045000	-0.060000	0.872500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	0.000236	0.516517	0.225923	0.514575	0.223656	0.509718	0.223332	0.618514	0.207790	-0.021634	0.231427	0.603943	0.166020	0.318354	0.232075	0.384408	0.291330	0.628228	0.196781
H:M%	Tomography_0070	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	9.045000	-0.060000	0.982000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	0.000560	0.516517	0.225923	0.515546	0.223656	0.510689	0.223656	0.620456	0.207790	-0.020662	0.233046	0.605886	0.166668	0.321268	0.233046	0.389265	0.291977	0.632113	0.198076
H:M%	Tomography_0071	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	9.045000	-0.060000	1.091000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	0.000236	0.517489	0.225923	0.513603	0.223980	0.510689	0.223332	0.620456	0.207790	-0.021634	0.231104	0.602971	0.166020	0.319325	0.232075	0.387322	0.291654	0.629199	0.197105
H:M%	Tomography_0072	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	9.045000	-0.060000	1.200000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	0.000236	0.517489	0.225923	0.513603	0.223980	0.510689	0.223656	0.618514	0.207790	-0.020662	0.231751	0.602971	0.166344	0.320296	0.232075	0.387322	0.291654	0.630170	0.197429
H:M%	Tomography_0073	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	10.854500	-0.060000	0.000000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000560	0.517489	0.225923	0.515546	0.223980	0.511661	0.223332	0.620456	0.208762	-0.021634	0.231104	0.603943	0.166020	0.321268	0.232723	0.387322	0.291654	0.630170	0.197429
H:M%	Tomography_0074	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	10.854500	-0.060000	0.109000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000236	0.516517	0.225599	0.512632	0.223980	0.512632	0.223332	0.619485	0.207790	-0.021634	0.231427	0.604914	0.166992	0.321268	0.232399	0.389265	0.291977	0.630170	0.197752
H:M%	Tomography_0075	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	10.854500	-0.060000	0.218000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	0.000236	0.516517	0.225599	0.514575	0.223980	0.510689	0.223332	0.618514	0.207790	-0.021634	0.231751	0.602971	0.166344	0.320296	0.232723	0.386351	0.291654	0.631142	0.197752
H:M%	Tomography_0076	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	10.854500	-0.060000	0.218000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	-0.000088	0.515546	0.225923	0.514575	0.224304	0.511661	0.223009	0.619485	0.207790	-0.021634	0.231427	0.603943	0.166668	0.319325	0.232399	0.387322	0.291654	0.630170	0.197429
H:M%	Tomography_0077	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	10.854500	-0.060000	0.436500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	0.000560	0.516517	0.225599	0.514575	0.223656	0.511661	0.223009	0.619485	0.207143	-0.021634	0.231427	0.603943	0.166020	0.319325	0.232075	0.387322	0.291330	0.630170	0.197105
H:M%	Tomography_0078	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	10.854500	-0.060000	0.545500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000560	0.516517	0.225923	0.513603	0.223980	0.512632	0.223656	0.622399	0.208438	-0.020662	0.231751	0.603943	0.166668	0.321268	0.233046	0.388294	0.291654	0.632113	0.198400
H:M%	Tomography_0079	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	10.854500	-0.060000	0.545500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	0.000236	0.516517	0.225599	0.515546	0.223656	0.510689	0.223332	0.619485	0.208438	-0.023576	0.231104	0.603943	0.166020	0.319325	0.232075	0.387322	0.291330	0.630170	0.197429
H:M%	Tomography_0080	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	10.854500	-0.060000	0.763500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000236	0.516517	0.225923	0.515546	0.223980	0.511661	0.223332	0.621428	0.208438	-0.021634	0.231751	0.602971	0.166344	0.319325	0.231751	0.388294	0.291977	0.631142	0.197752
H:M%	Tomography_0081	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	10.854500	-0.060000	0.872500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000236	0.517489	0.225923	0.513603	0.223656	0.511661	0.223656	0.618514	0.207466	-0.022605	0.231427	0.602971	0.166020	0.318354	0.231751	0.388294	0.291654	0.629199	0.197752
H:M%	Tomography_0082	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	10.854500	-0.060000	0.982000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	0.000560	0.516517	0.225923	0.514575	0.223656	0.510689	0.223332	0.619485	0.208438	-0.021634	0.231751	0.603943	0.166344	0.319325	0.232075	0.388294	0.291654	0.629199	0.198076
H:M%	Tomography_0083	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	10.854500	-0.060000	1.091000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	0.000236	0.515546	0.225923	0.514575	0.223656	0.510689	0.223332	0.618514	0.207790	-0.021634	0.231427	0.603943	0.166668	0.321268	0.232723	0.388294	0.291977	0.630170	0.197752
H:M%	Tomography_0084	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	10.854500	-0.060000	1.200000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000884	0.516517	0.225923	0.515546	0.223980	0.511661	0.223656	0.617542	0.207466	-0.023576	0.231751	0.603943	0.166668	0.319325	0.232399	0.386351	0.290682	0.628228	0.196781
H:M%	Tomography_0085	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	12.663500	-0.060000	0.000000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000236	0.516517	0.225599	0.514575	0.223980	0.510689	0.223009	0.617542	0.207790	-0.022605	0.231427	0.604914	0.166344	0.319325	0.232399	0.387322	0.291977	0.631142	0.197752
H:M%	Tomography_0086	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	12.663500	-0.060000	0.109000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	-0.000088	0.517489	0.225923	0.514575	0.223980	0.510689	0.223656	0.620456	0.209409	-0.020662	0.231751	0.603943	0.166668	0.319325	0.232075	0.387322	0.291654	0.628228	0.197429
H:M%	Tomography_0087	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	12.663500	-0.060000	0.218000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	-0.000088	0.516517	0.225923	0.513603	0.223656	0.509718	0.223332	0.618514	0.208762	-0.021634	0.231427	0.603943	0.166344	0.319325	0.232075	0.386351	0.291006	0.630170	0.197429
H:M%	Tomography_0088	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	12.663500	-0.060000	0.327500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	0.000884	0.517489	0.225599	0.514575	0.223980	0.510689	0.223656	0.618514	0.208114	-0.023576	0.231427	0.602971	0.166668	0.321268	0.232399	0.388294	0.291330	0.630170	0.197429
H:M%	Tomography_0089	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	12.663500	-0.060000	0.436500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000236	0.515546	0.225923	0.515546	0.223656	0.511661	0.223332	0.618514	0.207790	-0.021634	0.231751	0.602971	0.166020	0.321268	0.232399	0.387322	0.291654	0.631142	0.197752
H:M%	Tomography_0090	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	12.663500	-0.060000	0.545500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	0.000560	0.516517	0.225923	0.513603	0.223656	0.509718	0.223009	0.621428	0.208438	-0.022605	0.231751	0.604914	0.166668	0.320296	0.233046	0.389265	0.291330	0.631142	0.198400
H:M%	Tomography_0091	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	12.663500	-0.060000	0.654500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	0.000884	0.515546	0.225923	0.515546	0.223980	0.511661	0.223332	0.619485	0.208114	-0.022605	0.231427	0.602971	0.166020	0.318354	0.231751	0.387322	0.291330	0.630170	0.197752
H:M%	Tomography_0092	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	12.663500	-0.060000	0.763500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000236	0.516517	0.226247	0.514575	0.223980	0.510689	0.223332	0.617542	0.207466	-0.020662	0.231427	0.602971	0.166344	0.319325	0.232399	0.386351	0.291330	0.629199	0.197752
H:M%	Tomography_0093	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	12.663500	-0.060000	0.872500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	-0.000088	0.516517	0.225599	0.514575	0.223980	0.511661	0.223656	0.619485	0.207790	-0.021634	0.231751	0.604914	0.166992	0.320296	0.232399	0.387322	0.291977	0.631142	0.198400
H:M%	Tomography_0094	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	12.663500	-0.060000	0.982000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000560	0.516517	0.226247	0.514575	0.223980	0.510689	0.223332	0.620456	0.208762	-0.020662	0.231751	0.603943	0.166344	0.318354	0.232399	0.388294	0.291977	0.630170	0.197752
H:M%	Tomography_0095	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	12.663500	-0.060000	1.091000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000560	0.516517	0.225599	0.514575	0.223656	0.511661	0.223980	0.620456	0.208438	-0.021634	0.231751	0.602971	0.166344	0.319325	0.231751	0.386351	0.291654	0.630170	0.197752
H:M%	Tomography_0096	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	12.663500	-0.060000	1.200000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	0.000560	0.516517	0.225923	0.513603	0.223980	0.510689	0.222685	0.619485	0.208114	-0.020662	0.231427	0.602971	0.166344	0.318354	0.232399	0.387322	0.291977	0.630170	0.197429
